_id,No.,Date,Organization,Number_Passenger,Note
1,1,1/10/2022,SRT,"52,584",
2,2,1/10/2022,ARL,"46,393",
3,3,1/10/2022,Red Line,"12,558",
4,4,1/10/2022,MRT Blue Line,"221,452",
5,5,1/10/2022,MRT Purple Line,"24,843",
6,6,1/10/2022,BTS Green Line,"565,971",
7,7,1/10/2022,BTS Gold Line,"5,160",
8,8,2/10/2022,SRT,"57,835",
9,9,2/10/2022,ARL,"39,880",
10,10,2/10/2022,Red Line,"11,384",
11,11,2/10/2022,MRT Blue Line,"179,864",
12,12,2/10/2022,MRT Purple Line,"19,695",
13,13,2/10/2022,BTS Green Line,"446,473",
14,14,2/10/2022,BTS Gold Line,"4,604",
15,15,3/10/2022,SRT,"54,933",
16,16,3/10/2022,ARL,"65,124",
17,17,3/10/2022,Red Line,"25,125",
18,18,3/10/2022,MRT Blue Line,"330,098",
19,19,3/10/2022,MRT Purple Line,"47,800",
20,20,3/10/2022,BTS Green Line,"744,113",
21,21,3/10/2022,BTS Gold Line,"5,323",
22,22,4/10/2022,SRT,"49,954",
23,23,4/10/2022,ARL,"60,513",
24,24,4/10/2022,Red Line,"19,057",
25,25,4/10/2022,MRT Blue Line,"355,553",
26,26,4/10/2022,MRT Purple Line,"45,407",
27,27,4/10/2022,BTS Green Line,"716,733",
28,28,4/10/2022,BTS Gold Line,"4,130",
29,29,5/10/2022,SRT,"51,895",
30,30,5/10/2022,ARL,"60,733",
31,31,5/10/2022,Red Line,"18,235",
32,32,5/10/2022,MRT Blue Line,"364,704",
33,33,5/10/2022,MRT Purple Line,"47,672",
34,34,5/10/2022,BTS Green Line,"759,314",
35,35,5/10/2022,BTS Gold Line,"4,058",
36,36,6/10/2022,SRT,"56,945",
37,37,6/10/2022,ARL,"61,951",
38,38,6/10/2022,Red Line,"18,745",
39,39,6/10/2022,MRT Blue Line,"368,035",
40,40,6/10/2022,MRT Purple Line,"44,225",
41,41,6/10/2022,BTS Green Line,"726,019",
42,42,6/10/2022,BTS Gold Line,"5,168",
43,43,7/10/2022,SRT,"64,292",
44,44,7/10/2022,ARL,"65,831",
45,45,7/10/2022,Red Line,"21,149",
46,46,7/10/2022,MRT Blue Line,"400,679",
47,47,7/10/2022,MRT Purple Line,"46,953",
48,48,7/10/2022,BTS Green Line,"783,710",
49,49,7/10/2022,BTS Gold Line,"6,959",
50,50,8/10/2022,SRT,"59,752",
51,51,8/10/2022,ARL,"46,959",
52,52,8/10/2022,Red Line,"13,382",
53,53,8/10/2022,MRT Blue Line,"267,888",
54,54,8/10/2022,MRT Purple Line,"27,372",
55,55,8/10/2022,BTS Green Line,"595,136",
56,56,8/10/2022,BTS Gold Line,"7,793",
57,57,9/10/2022,SRT,"62,487",
58,58,9/10/2022,ARL,"39,290",
59,59,9/10/2022,Red Line,"11,653",
60,60,9/10/2022,MRT Blue Line,"211,225",
61,61,9/10/2022,MRT Purple Line,"21,664",
62,62,9/10/2022,BTS Green Line,"477,991",
63,63,9/10/2022,BTS Gold Line,"8,184",
64,64,10/10/2022,SRT,"60,231",
65,65,10/10/2022,ARL,"60,122",
66,66,10/10/2022,Red Line,"17,649",
67,67,10/10/2022,MRT Blue Line,"371,650",
68,68,10/10/2022,MRT Purple Line,"47,205",
69,69,10/10/2022,BTS Green Line,"695,680",
70,70,10/10/2022,BTS Gold Line,"4,239",
71,71,11/10/2022,SRT,"61,918",
72,72,11/10/2022,ARL,"60,901",
73,73,11/10/2022,Red Line,"18,291",
74,74,11/10/2022,MRT Blue Line,"363,677",
75,75,11/10/2022,MRT Purple Line,"46,739",
76,76,11/10/2022,BTS Green Line,"704,230",
77,77,11/10/2022,BTS Gold Line,"3,700",
78,78,12/10/2022,SRT,"69,507",
79,79,12/10/2022,ARL,"66,432",
80,80,12/10/2022,Red Line,"21,218",
81,81,12/10/2022,MRT Blue Line,"375,495",
82,82,12/10/2022,MRT Purple Line,"45,864",
83,83,12/10/2022,BTS Green Line,"749,250",
84,84,12/10/2022,BTS Gold Line,"4,542",
85,85,13/10/2022,SRT,"68,587",
86,86,13/10/2022,ARL,"42,851",
87,87,13/10/2022,Red Line,"13,644",
88,88,13/10/2022,MRT Blue Line,"250,514",
89,89,13/10/2022,MRT Purple Line,"23,584",
90,90,13/10/2022,BTS Green Line,"496,322",
91,91,13/10/2022,BTS Gold Line,"5,554",
92,92,14/10/2022,SRT,"60,778",
93,93,14/10/2022,ARL,"48,688",
94,94,14/10/2022,Red Line,"13,843",
95,95,14/10/2022,MRT Blue Line,"278,732",
