ข้อมูลที่อยู่อาศัยสร้างเสร็จจดทะเบียน เดือน พฤษภาคม 2569,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
การแสดงผลจังหวัด แยกตามอำเภอ (กรุงเทพมหานคร),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
ลำดับที่,จังหวัด/อำเภอ,บ้าน (1),โรงแรม (7),โรงงาน (13),หอพัก (14),ตึกแถว (16),ห้องแถว (17),ตึก (18),ร้านค้า (19),สำนักงาน (20),แฟลต (21),อาคารชุด (22),ห้างหุ้นส่วนจำกัด (33),ห้างหุ้นส่วนนิติบุคคล (34),โกดัง (37),บริษัท (38),ทาวน์เฮ้าส์ (39),บ้านแฝด (45),บ้านแถว (49),ทาวน์โฮม (51),อื่น ๆ,รวม
,รวม,"1,969,244","1,778",656,"2,193","52,671","1,057","106,609","12,488","10,979","54,054","889,823",23,5,792,558,"101,000","22,662","38,586",765,"107,746","3,373,689"
,กรุงเทพมหานคร,,,,,,,,,,,,,,,,,,,,,
1,ท้องถิ่นเขตพระนคร,"16,602",116,0,2,11,0,16,775,48,379,124,0,0,0,1,0,0,0,0,697,"18,771"
2,ท้องถิ่นเขตดุสิต,"19,570",4,9,6,110,21,431,4,15,"2,311","2,728",0,0,0,1,23,0,0,0,"9,175","34,408"
3,ท้องถิ่นเขตหนองจอก,"53,799",1,23,12,774,0,"12,090",250,156,63,"1,474",0,0,52,8,"3,154","2,079",506,0,"1,993","76,434"
4,ท้องถิ่นเขตบางรัก,"20,250",112,0,4,369,17,"5,236",48,285,25,"9,423",0,0,0,0,0,0,0,0,361,"36,130"
5,ท้องถิ่นเขตบางเขน,"63,197",71,3,123,"2,423",2,776,837,217,"1,049","31,632",0,0,10,0,"6,415",778,263,0,"13,467","121,263"
6,ท้องถิ่นเขตบางกะปิ,"44,794",62,5,0,"4,575",11,"17,104",142,273,976,"48,276",0,0,12,0,651,200,896,0,"1,465","119,442"
7,ท้องถิ่นเขตปทุมวัน,"14,942",68,1,2,634,20,"4,645",321,395,"2,265","8,586",0,0,0,0,0,2,0,0,707,"32,588"
8,ท้องถิ่นเขตป้อมปราบศัตรูพ่าย,"16,693",9,1,2,428,11,53,610,73,187,"1,111",0,0,1,3,0,0,0,0,462,"19,644"
9,ท้องถิ่นเขตพระโขนง,"20,283",22,29,91,"2,521",9,773,167,218,858,"36,389",7,0,13,58,"3,718",83,62,0,"1,360","66,661"
10,ท้องถิ่นเขตมีนบุรี,"54,386",15,59,7,732,5,346,32,232,"3,239","5,843",0,2,7,9,"2,374",56,0,0,"1,344","68,688"
11,ท้องถิ่นเขตลาดกระบัง,"59,372",29,77,55,460,2,869,299,477,"5,982","29,045",0,0,223,7,"7,797",726,777,84,"3,688","109,969"
12,ท้องถิ่นเขตยานนาวา,"31,355",4,7,38,81,33,26,57,577,38,"21,117",0,0,37,2,364,80,0,94,"1,028","54,938"
13,ท้องถิ่นเขตสัมพันธวงศ์,"11,992",17,0,1,110,1,85,121,100,1,361,0,0,0,4,0,0,1,0,153,"12,947"
14,ท้องถิ่นเขตพญาไท,"23,675",32,0,13,83,0,286,104,644,"2,633","17,786",0,0,0,10,76,2,0,0,"2,383","47,727"
15,ท้องถิ่นเขตธนบุรี,"36,996",6,1,2,"1,465",265,"2,195",62,159,327,"23,990",0,0,1,0,19,6,30,0,654,"66,178"
16,ท้องถิ่นเขตบางกอกใหญ่,"24,063",10,3,6,236,1,197,20,26,29,"8,180",0,0,0,0,244,6,0,0,201,"33,222"
17,ท้องถิ่นเขตห้วยขวาง,"48,313",62,1,2,292,0,94,384,949,35,"44,110",0,1,3,11,219,96,145,0,"2,535","97,252"
18,ท้องถิ่นเขตคลองสาน,"27,296",33,0,6,180,0,110,22,36,62,"16,502",0,0,0,0,0,0,0,0,400,"44,647"
19,ท้องถิ่นเขตตลิ่งชัน,"38,671",1,2,4,109,1,228,414,156,683,"3,260",1,0,5,1,67,64,154,0,"1,780","45,601"
20,ท้องถิ่นเขตบางกอกน้อย,"41,979",20,0,35,913,79,112,47,95,44,"12,388",0,0,1,0,0,120,364,0,"1,666","57,863"
21,ท้องถิ่นเขตบางขุนเทียน,"59,751",6,24,218,"5,627",5,774,383,332,385,"14,447",0,0,248,0,"11,078",716,0,82,"2,598","96,674"
22,ท้องถิ่นเขตภาษีเจริญ,"39,380",26,0,14,677,11,286,12,130,120,"24,944",3,0,0,0,"3,427",173,347,0,884,"70,434"
23,ท้องถิ่นเขตหนองแขม,"51,948",1,17,13,688,163,138,45,74,503,"2,090",0,0,7,20,"7,105","2,026",34,358,"1,650","66,880"
24,ท้องถิ่นเขตราษฎร์บูรณะ,"30,464",9,3,14,258,57,"1,242",80,66,1,"4,419",0,0,2,3,294,288,"1,390",0,"2,432","41,022"
25,ท้องถิ่นเขตบางพลัด,"38,952",28,31,7,207,13,328,31,342,71,"21,240",0,0,0,0,5,4,9,0,"1,042","62,310"
26,ท้องถิ่นเขตดินแดง,"34,037",67,6,11,"1,946",10,"2,954",187,159,"6,324","19,672",0,0,1,4,164,16,0,0,"1,154","66,712"
27,ท้องถิ่นเขตบึงกุ่ม,"44,715",8,3,6,"2,144",8,"8,805",24,68,"1,765","19,330",0,0,4,2,877,391,729,0,"1,571","80,450"
28,ท้องถิ่นเขตสาทร,"28,176",59,4,4,84,3,757,37,291,262,"13,663",0,0,2,0,1,0,3,0,"1,940","45,286"
29,ท้องถิ่นเขตบางซื่อ,"39,222",1,3,116,545,7,243,225,125,822,"34,911",0,0,5,1,370,2,7,0,"2,717","79,322"
30,ท้องถิ่นเขตจตุจักร,"59,920",54,2,477,"1,215",0,27,969,690,"3,525","72,879",0,0,0,2,41,179,747,0,"2,528","143,255"
31,ท้องถิ่นเขตบางคอแหลม,"30,412",8,2,16,320,0,"1,397",26,80,80,"8,055",0,0,0,0,25,6,29,0,666,"41,122"
32,ท้องถิ่นเขตประเวศ,"50,899",27,12,25,"1,848",22,"1,694",102,393,"1,272","33,327",6,0,15,285,"5,226","2,242","7,629",0,"3,471","108,495"
33,ท้องถิ่นเขตคลองเตย,"43,047",130,22,15,203,5,158,28,152,"1,694","35,421",0,0,0,0,1,2,0,0,"3,034","83,912"
34,ท้องถิ่นเขตสวนหลวง,"31,992",16,2,11,898,12,"17,896",29,100,3,"33,439",0,0,0,2,481,555,"3,410",22,765,"89,633"
35,ท้องถิ่นเขตจอมทอง,"59,775",5,6,10,490,6,324,63,94,16,"10,791",0,2,11,10,490,167,"1,420",0,"1,308","74,988"
36,ท้องถิ่นเขตดอนเมือง,"48,232",14,4,64,949,4,297,53,196,"5,570","13,625",0,0,0,6,"11,257","1,787",4,15,"2,089","84,166"
37,ท้องถิ่นเขตราชเทวี,"22,824",235,0,108,"1,380",17,"1,586","2,248",88,841,"25,431",0,0,3,0,0,2,0,0,"3,355","58,118"
